State,Year_x,Month_x,Rain,Month_Year,Year_y,Month_y,Flood,Area
Bihar,1990,6,156.6,6/1990,,,0,
Bihar,1990,7,485.5,7/1990,,,0,
Bihar,1990,8,204.4,8/1990,,,0,
Bihar,1990,9,201.2,9/1990,,,0,
Bihar,1990,10,49.7,10/1990,,,0,
Bihar,1991,6,176.2,6/1991,,,0,
Bihar,1991,7,179.7,7/1991,,,0,
Bihar,1991,10,7.2,10/1991,,,0,
Bihar,1992,6,83.9,6/1992,,,0,
Bihar,1992,7,284.8,7/1992,,,0,
Bihar,1992,8,219.2,8/1992,,,0,
Bihar,1992,10,52.4,10/1992,,,0,
Bihar,1993,6,154.8,6/1993,,,0,
Bihar,1993,10,34.3,10/1993,,,0,
Bihar,1994,6,130.9,6/1994,,,0,
Bihar,1994,7,217.7,7/1994,,,0,
Bihar,1995,6,162.9,6/1995,,,0,
Bihar,1995,7,227.5,7/1995,,,0,
Bihar,1995,10,11.4,10/1995,,,0,
Bihar,1996,6,220.1,6/1996,,,0,
Bihar,1996,10,66.2,10/1996,,,0,
Bihar,1997,6,211.0,6/1997,,,0,
Bihar,1997,7,463.9,7/1997,,,0,
Bihar,1997,8,287.6,8/1997,,,0,
Bihar,1997,9,185.8,9/1997,,,0,
Bihar,1997,10,27.8,10/1997,,,0,
Bihar,1998,6,96.6,6/1998,,,0,
Bihar,1998,10,83.0,10/1998,,,0,
Bihar,1999,6,265.1,6/1999,,,0,
Bihar,1999,10,114.1,10/1999,,,0,
Bihar,2000,6,267.2,6/2000,,,0,
Bihar,2000,8,201.4,8/2000,,,0,
Bihar,2000,9,314.8,9/2000,,,0,
Bihar,2000,10,9.6,10/2000,,,0,
Bihar,2001,6,224.4,6/2001,,,0,
Bihar,2002,6,116.6,6/2002,,,0,
Bihar,2002,9,192.8,9/2002,,,0,
Bihar,2002,10,33.8,10/2002,,,0,
Bihar,2003,6,230.9,6/2003,,,0,
Bihar,2004,6,246.8,6/2004,,,0,
Bihar,2004,9,115.3,9/2004,,,0,
Bihar,2004,10,56.4,10/2004,,,0,
Bihar,2005,6,82.5,6/2005,,,0,
Bihar,2005,7,300.0,7/2005,,,0,
Bihar,2005,10,34.3,10/2005,,,0,
Bihar,2006,6,200.0,6/2006,,,0,
Bihar,2006,9,285.2,9/2006,,,0,
Bihar,2006,10,17.6,10/2006,,,0,
Bihar,2007,6,170.4,6/2007,,,0,
Bihar,2007,7,549.4,7/2007,,,0,
Bihar,2007,8,340.6,8/2007,,,0,
Bihar,2007,9,309.0,9/2007,,,0,
Bihar,2007,10,39.6,10/2007,,,0,
Bihar,2008,6,291.2,6/2008,,,0,
Bihar,2008,7,397.2,7/2008,,,0,
Bihar,2008,8,278.1,8/2008,,,0,
Bihar,2008,9,117.1,9/2008,,,0,
Bihar,2008,10,21.4,10/2008,,,0,
Bihar,2009,6,67.7,6/2009,,,0,
Bihar,2009,7,213.6,7/2009,,,0,
Bihar,2009,8,298.9,8/2009,,,0,
Bihar,2009,9,127.6,9/2009,,,0,
Bihar,2009,10,72.6,10/2009,,,0,
Bihar,2010,6,80.9,6/2010,,,0,
Bihar,2010,7,191.2,7/2010,,,0,
Bihar,2010,8,158.4,8/2010,,,0,
Bihar,2010,9,105.7,9/2010,,,0,
Bihar,2010,10,33.6,10/2010,,,0,
Bihar,2011,6,211.0,6/2011,,,0,
Bihar,2011,7,241.1,7/2011,,,0,
Bihar,2011,8,278.7,8/2011,,,0,
Bihar,2011,9,234.1,9/2011,,,0,
Bihar,2011,10,10.0,10/2011,,,0,
Bihar,2012,6,96.2,6/2012,,,0,
Bihar,2012,7,354.0,7/2012,,,0,
Bihar,2012,8,240.4,8/2012,,,0,
Bihar,2012,9,233.8,9/2012,,,0,
Bihar,2012,10,34.3,10/2012,,,0,
Bihar,2013,6,183.3,6/2013,,,0,
Bihar,2013,7,182.0,7/2013,,,0,
Bihar,2013,8,213.6,8/2013,,,0,
Bihar,2013,9,143.3,9/2013,,,0,
Bihar,2013,10,197.1,10/2013,,,0,
Bihar,2014,6,115.2,6/2014,,,0,
Bihar,2014,7,265.4,7/2014,,,0,
Bihar,2014,8,307.6,8/2014,,,0,
Bihar,2014,9,160.3,9/2014,,,0,
Bihar,2014,10,47.8,10/2014,,,0,
Bihar,2015,6,122.1,6/2015,,,0,
Bihar,2015,7,231.5,7/2015,,,0,
Bihar,2015,8,287.0,8/2015,,,0,
Bihar,2015,9,101.7,9/2015,,,0,
Bihar,2015,10,10.4,10/2015,,,0,
Bihar,2016,6,128.7,6/2016,,,0,
